,지역,상호,주소,상표
163,경기,신도시충전소,경기 화성시 동탄면 경기동로 541  ,E1
164,경기,신도시충전소,경기 오산시 외삼미로 88 (외삼미동)  ,E1
165,경기,덕이충전소,경기 고양시 일산서구 덕이로 300 (덕이동)  ,현대오일뱅크
166,경기,구도일충전소,경기 안성시 삼죽면 서동대로 6210  ,"기타(무폴,복수폴)"
167,경기,한강에너지충전소,"경기도 김포시 고촌읍 개화동로 245, 한강에너지 한강에너지",현대오일뱅크
168,경기,(주)태진에너지 내각충전소,경기 남양주시 진접읍 금강로 유연들1길 52  ,SK가스
169,경기,중앙LPG충전소,경기 동두천시 강변로 814 (동두천동)  ,SK가스
170,경기,모과나무충전소,경기 용인시 처인구 모현면 포은대로 230  ,SK
171,경기,에이치에너지산업(주),경기도 양주시 동일로 955 (마전동),SK
172,경기,산곡에너지충전소,경기 의정부시 송산로 950 (산곡동)  ,SK
173,경기,수원태평양충전소,경기 수원시 권선구 수인로 34 (서둔동)  ,E1
174,경기,신정오일 주식회사 경기점,경기 화성시 은행나무로 448 (양감면)   ,현대오일뱅크
175,경기,고양(서울)충전소,경기도 고양시 덕양구 수원문산고속도로 51 (성사동) 고양휴게소,GS칼텍스
176,경기,㈜북문가스,경기 수원시 장안구 팔달로 247번길 1 (영화동)  ,현대오일뱅크
177,경기,의정부LPG충전소,경기 의정부시 금신로 54 (신곡동)  ,E1
178,경기,광신개발㈜ 직영 랜드마크충전소,경기도 이천시 사실로 878 어농리 60-9,S-OiL
179,경기,풍천가스충전소,경기 화성시 비봉면 비봉로 366  ,GS칼텍스
180,경기,이케이에너지(주) 파동충전소,경기 파주시 통일로 645 (아동동)  ,현대오일뱅크
181,경기,SK수원충전소,경기 수원시 장안구 경수대로 976번길 13 (송죽동)  ,SK가스
182,경기,남선가스충전소,경기 수원시 권선구 권선로 332 (고색동)  ,GS칼텍스
183,경기,서천가스충전소,경기 이천시 경충대로 2839 (관고동)  ,SK가스
184,경기,그린에너지,경기 용인시 기흥구 덕영대로 1872 (하갈동)  ,SK
185,경기,그린에너지,경기 수원시 장안구 경수대로 1196 (파장동)  ,SK
186,경기,양지엘피지충전소,경기 용인시 처인구 양지면 양지로 17-9  ,SK
187,경기,대안가스,경기 포천시 영북면 문암길 7-3  ,S-OiL
188,경기,대안가스충전소,경기 화성시 팔탄면 550-13  ,E1
189,경기,금이LPG충전소,경기 시흥시 수인로 2681 (금이동)  ,E1
190,경기,(주)비행장에너지,경기 수원시 권선구 정조로 287 (대황교동)  ,SK
191,경기,유양LPG충전소,경기 양주시 부흥로 1320 (유양동)  ,E1
192,경기,전곡LPG충전소,경기 연천군 전곡읍 청정로 2503 (전곡읍)  ,E1
193,경기,양평가스충전소,경기 양평군 경강로 2004 (양평읍)  ,S-OiL
194,경기,SK 포천충전소,경기 포천시 내촌면 금강로 2199-14  ,SK가스
195,경기,광적충전소,경기 양주시 광적면 광적로 118  ,현대오일뱅크
196,경기,대보유통(주)안성(서울방향)충전소,경기 안성시 원곡면 경부고속도로 372-2  ,E1
197,경기,서해가스충전소,경기 부천시 원미구 송내대로 377 (상동)  ,GS칼텍스
198,경기,국토충전소,경기 가평군 하면 비득재길 120  ,SK
199,경기,(주)대호페트로 갤러리충전소 평택점,경기 평택시 진위면 동천리 남부대로 597  ,S-OiL
200,경기,여주LPG충전소,경기 여주군 경충대로 900 (가남면)  ,E1
201,경기,비케이프라임실업㈜,경기 부천시 오정구 봉오대로 472 (고강본동)  ,SK가스
202,경기,화성융릉LPG충전소,경기 화성시 효행로 446 (안녕동)  ,E1
203,경기,㈜대야에너지 발안LPG충전소,경기 화성시 향남읍 서해로 806  ,GS칼텍스
204,경기,한이에너지(주)제1충전소,경기 평택시 오성면 서동대로 2043  ,E1
205,경기,시화충전소,경기 시흥시 서해안로 596 (정왕동)  ,GS칼텍스
206,경기,동양에너지,경기 용인시 처인구 이동면 백옥대로 230  ,SK
207,경기,㈜오정가스,경기 부천시 소사구 경인옛로 50 (소사본2동)  ,현대오일뱅크
208,경기,화성LPG충전소,경기 화성시 팔탄면 구장길 106  ,E1
209,경기,유림충전소,경기 용인시 처인구 백옥대로 1214 (유방동)  ,SK
210,경기,반도체충전소,경기 용인시 기흥구 삼성2로 61 (농서동)  ,SK가스
211,경기,케이와이에너지㈜느티나무충전소,경기 안산시 단원구 시흥대로 90 (선부2동)  ,현대오일뱅크
212,경기,케이와이에너지(주) 아동충전소,경기 파주시 새꽃로 279 (아동동)  ,현대오일뱅크
213,경기,덕인가스충전소,경기 양주시 평하로 1381   ,SK
214,경기,녹양LPG충전소,경기 의정부시 평화로 801 (녹양동) 녹양LPG충전소,E1
215,경기,초지대교충전소,경기 김포시 대곶면 대명항로 532  ,SK
216,경기,부천LPG충전소,경기 부천시 원미구 길주로 429 (춘의동)  ,E1
217,경기,대현 E&C,경기 김포시 금파로 12 (걸포동)  ,SK가스
218,경기,스타팅충전소,경기도 하남시 서하남로 477(춘궁동) 스타팅충전소,SK
219,경기,르노코리아자동차주식회사,경기 용인시 기흥구 공세동 르노삼성자동차연구소PT시험팀  ,SK가스
220,경기,서오능가스㈜,경기 고양시 덕양구 도내동 994  ,SK가스
221,경기,수원해월LPG충전소,경기 수원시 영통구 삼성로 319 (원천동)  ,E1
222,경기,(주)남양주에너지,경기 남양주시 경춘로 833 (일패동)  ,S-OiL
223,경기,민속촌LPG충전소,경기 용인시 기흥구 사은로 178 (지곡동)  ,E1
224,경기,(주)씨엔에스상사(지점),경기 양주시 광적면 삼일로 99  ,"기타(무폴,복수폴)"
225,경기,대로충전소,경기 의정부시 가금로 75 (가능동)  ,현대오일뱅크
226,경기,서일산업㈜ 정왕가스,경기 시흥시 서해안로 580 (정왕동)  ,S-OiL
